candidate,seed,shot,category,samples,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro,mean_visual_weight,mean_visual_pixel_weight,text_route_fraction
pixel_only_w15,1,4,bracket_black,79,0.3829787234042553,0.5743792293019812,0.9352921298020646,0.07101803915332057,0.8539786662075926,1.0,0.9999036192893982,0.0
visual_only,1,4,bracket_brown,77,0.6236802413273002,0.7279732070907304,0.9408679819602563,0.06543579636427263,0.8359652433980357,1.0,1.0,0.0
pixel_only_w15,1,4,bracket_brown,77,0.6236802413273002,0.7279732070907304,0.9408680045663749,0.06543579649951436,0.8569561830242032,1.0,0.9980320930480957,0.0
visual_only,1,4,bracket_white,60,0.6333333333333333,0.554488714222249,0.9968132394531417,0.07916779975650085,0.9675361079675906,1.0,1.0,0.0
pixel_only_w15,1,4,bracket_white,60,0.6333333333333333,0.554488714222249,0.9968132394531417,0.07916779975650086,0.9675361079675906,1.0,0.9974220991134644,0.0
visual_only,1,4,connector,44,0.9047619047619049,0.7966209128112046,0.9817595294020892,0.3514402442998623,0.915841363307366,1.0,1.0,0.0
pixel_only_w15,1,4,connector,44,0.9047619047619049,0.7966209128112046,0.9817595294020892,0.3514402442998623,0.9170951656002022,1.0,0.9825913906097412,0.0
visual_only,1,4,metal_plate,97,1.0,1.0,0.9761383319728594,0.8782032556397495,0.943734364470662,1.0,1.0,0.0
pixel_only_w15,1,4,metal_plate,97,1.0,1.0,0.9761586864781618,0.8782075169744147,0.943734364470662,1.0,0.9872475862503052,0.0
visual_only,1,4,tubes,101,0.9510869565217391,0.9801038572002033,0.9763491533352162,0.5952719394236844,0.8931498348756697,1.0,1.0,0.0
pixel_only_w15,1,4,tubes,101,0.9510869565217391,0.9801038572002033,0.9763491533352162,0.5952719394236844,0.8931498348756697,1.0,1.0,0.0
visual_only,2,1,bracket_black,79,0.47207446808510634,0.5852638488264074,0.899507138564177,0.004180618822724279,0.9268497905448722,1.0,1.0,0.0
pixel_only_w15,2,1,bracket_black,79,0.47207446808510634,0.5852638488264074,0.899507138564177,0.004180618822724279,0.93320839058052,1.0,0.999282717704773,0.0
visual_only,2,1,bracket_brown,77,0.5339366515837104,0.6914054793227135,0.933992793503957,0.05068673387640164,0.8270502403417652,1.0,1.0,0.0
pixel_only_w15,2,1,bracket_brown,77,0.5339366515837104,0.6914054793227135,0.933992793503957,0.05068673387640166,0.8265325237665633,1.0,0.9983965754508972,0.0
visual_only,2,1,bracket_white,60,0.4777777777777778,0.4624366438027395,0.9966436974219747,0.08896972591440175,0.0,1.0,1.0,0.0
pixel_only_w15,2,1,bracket_white,60,0.4777777777777778,0.4624366438027395,0.9966436974219747,0.08896972591440175,0.0,1.0,1.0,0.0
visual_only,2,1,connector,44,0.8357142857142859,0.6302154195011338,0.9716666778853703,0.14890927751740338,0.8595372438401664,1.0,1.0,0.0
pixel_only_w15,2,1,connector,44,0.8357142857142859,0.6302154195011338,0.9716666778853703,0.14890927751740338,0.8630179486860983,1.0,0.9936755299568176,0.0
visual_only,2,1,metal_plate,97,0.991332611050921,0.9969978774779409,0.9521501933170258,0.7841564828302244,0.8642197486171838,1.0,1.0,0.0
pixel_only_w15,2,1,metal_plate,97,0.991332611050921,0.9969978774779409,0.9521501933170258,0.7841564828302242,0.749264186653446,1.0,0.9977698922157288,0.0
visual_only,2,1,tubes,101,0.9270833333333334,0.9695999348579308,0.9690867819574677,0.5547216290817633,0.8605588675947996,1.0,1.0,0.0
pixel_only_w15,2,1,tubes,101,0.9270833333333334,0.9695999348579308,0.9690867819574677,0.5547216290817633,0.8605588675947996,1.0,1.0,0.0
visual_only,2,2,bracket_black,79,0.42819148936170215,0.5334976514406112,0.9220203214935405,0.025587344883150356,0.8498286533564298,1.0,1.0,0.0
pixel_only_w15,2,2,bracket_black,79,0.42819148936170215,0.5334976514406112,0.9220092258359479,0.025587331001375783,0.8398033204944714,1.0,0.9936308860778809,0.0
visual_only,2,2,bracket_brown,77,0.5535444947209653,0.6984605230547457,0.937026697771335,0.05497099422815011,0.7712519323126699,1.0,1.0,0.0
pixel_only_w15,2,2,bracket_brown,77,0.5535444947209653,0.6984605230547457,0.937026697771335,0.05497099422815012,0.8020911314565137,1.0,0.9988294839859009,0.0
visual_only,2,2,bracket_white,60,0.7033333333333334,0.6209248346534694,0.9951848112211563,0.050417256002423826,0.9851485148514851,1.0,1.0,0.0
pixel_only_w15,2,2,bracket_white,60,0.7033333333333334,0.6209248346534694,0.9951848112211563,0.050417256002423826,0.9851485148514851,1.0,1.0,0.0
visual_only,2,2,connector,44,0.7738095238095238,0.6048404968047825,0.9661153073034124,0.17144086737334763,0.8338976997219937,1.0,1.0,0.0
pixel_only_w15,2,2,connector,44,0.7738095238095238,0.6048404968047825,0.9661153073034124,0.17144086737334766,0.8376560457105653,1.0,0.9951608777046204,0.0
visual_only,2,2,metal_plate,97,0.9972914409534128,0.9990504529524564,0.9667630040515155,0.829226538479048,0.9059202307601435,1.0,1.0,0.0
pixel_only_w15,2,2,metal_plate,97,0.9972914409534128,0.9990504529524564,0.9667630256267775,0.8292265413594567,0.9059202307601435,1.0,0.996867835521698,0.0
visual_only,2,2,tubes,101,0.9311594202898551,0.9705445578272242,0.9748221434903265,0.5612401918692304,0.8809595537891315,1.0,1.0,0.0
pixel_only_w15,2,2,tubes,101,0.9311594202898551,0.9705445578272242,0.9748221434903265,0.5612401918692304,0.8809595537891315,1.0,1.0,0.0
visual_only,2,4,bracket_black,79,0.6136968085106383,0.7743549959960528,0.9476385097633325,0.15157602628791464,0.9076074372577297,1.0,1.0,0.0
pixel_only_w15,2,4,bracket_black,79,0.6136968085106383,0.7743549959960528,0.9476385097633325,0.15157602628791467,0.8973817606954184,1.0,0.9991524815559387,0.0
visual_only,2,4,bracket_brown,77,0.698340874811463,0.8285747078525424,0.9458265841042557,0.06241259374455753,0.8521511420178125,1.0,1.0,0.0
pixel_only_w15,2,4,bracket_brown,77,0.698340874811463,0.8285747078525424,0.9458265841042557,0.06241259374455752,0.855384016434391,1.0,0.9987325072288513,0.0
visual_only,2,4,bracket_white,60,0.8033333333333333,0.7474381503159152,0.9963003033682689,0.08868817237736043,0.9815557487731682,1.0,1.0,0.0
pixel_only_w15,2,4,bracket_white,60,0.8033333333333333,0.7474381503159152,0.9963003033682689,0.08868817237736043,0.9815557487731682,1.0,1.0,0.0
visual_only,2,4,connector,44,0.8214285714285714,0.6350736506723901,0.9760053688895799,0.2519451003669799,0.8766466882813166,1.0,1.0,0.0
pixel_only_w15,2,4,connector,44,0.8214285714285714,0.6350736506723901,0.9760053688895799,0.25194510036697987,0.8779440473766567,1.0,0.9953483939170837,0.0
visual_only,2,4,metal_plate,97,1.0,1.0,0.9756014631610337,0.8794203409091829,0.92946840987911,1.0,1.0,0.0
pixel_only_w15,2,4,metal_plate,97,1.0,1.0,0.9756019733584034,0.8794204072219189,0.92946840987911,1.0,0.9962452054023743,0.0
visual_only,2,4,tubes,101,0.9207427536231884,0.9656500036770969,0.976119628691424,0.5929910153463164,0.8996129161424907,1.0,1.0,0.0
pixel_only_w15,2,4,tubes,101,0.9207427536231884,0.9656500036770969,0.976119628691424,0.5929910153463164,0.8996129161424907,1.0,1.0,0.0
