category,shot,held_out_h,held_out_rel,method,auc_clean_vs_nuisance,mean_clean_score,mean_nuisance_score,nuisance_minus_clean,p95_clean_score,p95_nuisance_score
connector,2,0,connector/train/good/048.png,spatial_bw_nn_coord_shuffle,0.5080645561218261,0.17312798264902085,0.17543424159133186,0.0023062589423110125,0.38763184547424306,0.38772354125976555
connector,2,1,connector/train/good/043.png,global_nn,0.5337110519409181,0.059259949543047696,0.06326798199055096,0.004008032447503265,0.15385658740997307,0.16001986563205714
connector,2,1,connector/train/good/043.png,spatial_bw_nn,0.5317253112792968,0.06832115515135229,0.072625447192695,0.004304292041342708,0.19040345251560212,0.1957258284091949
connector,2,1,connector/train/good/043.png,spatial_bw_nn_coord_shuffle,0.5101591110229492,0.1707211531465873,0.1734639402284908,0.0027427870819034805,0.3421634167432783,0.3434927314519881
metal_plate,2,0,metal_plate/train/good/029.png,global_nn,0.5586235364278158,0.0828435632865876,0.09231647603446617,0.009472912747878579,0.1542634725570678,0.18077877163887016
metal_plate,2,0,metal_plate/train/good/029.png,spatial_bw_nn,0.5450860659281414,0.10714536893647164,0.11583280412014574,0.008687435183674097,0.25183474421501156,0.27613227665424345
metal_plate,2,0,metal_plate/train/good/029.png,spatial_bw_nn_coord_shuffle,0.5233971595764161,0.19899036368587986,0.206046422268264,0.007056058582384145,0.37651274502277343,0.38469634056091306
metal_plate,2,1,metal_plate/train/good/012.png,global_nn,0.554479217529297,0.08507028530584648,0.09469424006529152,0.009623954759445039,0.15671737194061275,0.17798613309860228
metal_plate,2,1,metal_plate/train/good/012.png,spatial_bw_nn,0.5433806737263998,0.10779614851344377,0.11694596008552859,0.009149811572084818,0.2532745003700253,0.281197366118431
metal_plate,2,1,metal_plate/train/good/012.png,spatial_bw_nn_coord_shuffle,0.5221704165140788,0.19374490657355636,0.20043313030619175,0.00668822373263539,0.3796205073595046,0.3847212225198745
tubes,2,0,tubes/train/good/069.png,global_nn,0.5143765449523926,0.0539158241590485,0.055411135122024766,0.0014953109629762679,0.11892916858196256,0.12102206945419311
tubes,2,0,tubes/train/good/069.png,spatial_bw_nn,0.5128211339314779,0.06466191972140223,0.06622798189055175,0.0015660621691495208,0.16066914200782767,0.16202264130115507
tubes,2,0,tubes/train/good/069.png,spatial_bw_nn_coord_shuffle,0.5036016464233398,0.1691723937401548,0.17006888310036933,0.0008964893602145252,0.2963088005781173,0.29769068360328677
tubes,2,1,tubes/train/good/105.png,global_nn,0.5112185796101888,0.05293463193811476,0.05405481448785091,0.0011201825497361498,0.11157616674900052,0.11219369471073148
tubes,2,1,tubes/train/good/105.png,spatial_bw_nn,0.5097155570983887,0.05999092833371833,0.06108923259889707,0.0010983042651787414,0.14131571650505065,0.14162116646766662
tubes,2,1,tubes/train/good/105.png,spatial_bw_nn_coord_shuffle,0.5030831654866537,0.16105038725072518,0.1618406169853794,0.0007902297346542297,0.30220500230789155,0.3039931833744049
