candidate,seed,shot,category,samples,pixel_stride,visual_pixel_auroc,visual_pixel_ap,visual_aupro,fused_pixel_auroc,fused_pixel_ap,fused_aupro,delta_pixel_auroc,delta_pixel_ap,delta_aupro,oracle_pixel_ap_gain,routing_efficiency_ap,rescue_pixel_count,rescue_true_pixel_count,rescue_coverage,anomaly_coverage,rescue_precision,harm_rate,anomaly_prevalence,rescue_precision_lift,image_rescue_enabled,test_labels_used_by_router
region_balanced,2,1,bracket_brown,77,8,0.9336326648966916,0.050163185466292504,0.8217356994190848,0.9336326591770823,0.05016316617323463,0.8217356994190848,-5.719609341703347e-09,-1.9293057873515096e-08,0.0,0.2957629756461871,-6.523148420238656e-08,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_strict,2,1,bracket_brown,77,8,0.9336326648966916,0.050163185466292504,0.8217356994190848,0.9336326591770823,0.05016316617323463,0.8217356994190848,-5.719609341703347e-09,-1.9293057873515096e-08,0.0,0.2957629756461871,-6.523148420238656e-08,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_wide_visual,2,1,bracket_brown,77,8,0.9336326648966916,0.050163185466292504,0.8217356994190848,0.9336326591770823,0.05016316617323463,0.8217356994190848,-5.719609341703347e-09,-1.9293057873515096e-08,0.0,0.2957629756461871,-6.523148420238656e-08,0,0,0.0,0.0,0.0,0.0,0.0045181221839385105,0.0,False,False
region_permissive,2,1,bracket_white,60,8,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.0,0.0,0.0,0.058111342814018245,0.0,22,0,0.00011692176870748299,0.0,0.0,1.0,0.00022852891156462584,0.0,False,False
region_balanced,2,1,bracket_white,60,8,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.0,0.0,0.0,0.058111342814018245,0.0,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,False,False
region_strict,2,1,bracket_white,60,8,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.0,0.0,0.0,0.058111342814018245,0.0,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,False,False
region_wide_visual,2,1,bracket_white,60,8,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.9976930487718492,0.07736038401818238,0.9889080862195601,0.0,0.0,0.0,0.058111342814018245,0.0,0,0,0.0,0.0,0.0,0.0,0.00022852891156462584,0.0,False,False
region_permissive,2,1,connector,44,8,0.9713028615720848,0.15167095576186135,0.8972878411341318,0.9713028615720848,0.15167095443418754,0.8972878411341318,0.0,-1.3276738042300451e-09,0.0,0.6164813659621238,-2.1536316870794383e-09,23,0,0.00016668599257884973,0.0,0.0,1.0,0.005536873840445269,0.0,False,False
region_balanced,2,1,connector,44,8,0.9713028615720848,0.15167095576186135,0.8972878411341318,0.9713028615720848,0.15167095443418754,0.8972878411341318,0.0,-1.3276738042300451e-09,0.0,0.6164813659621238,-2.1536316870794383e-09,0,0,0.0,0.0,0.0,0.0,0.005536873840445269,0.0,False,False
region_strict,2,1,connector,44,8,0.9713028615720848,0.15167095576186135,0.8972878411341318,0.9713028615720848,0.15167095443418754,0.8972878411341318,0.0,-1.3276738042300451e-09,0.0,0.6164813659621238,-2.1536316870794383e-09,0,0,0.0,0.0,0.0,0.0,0.005536873840445269,0.0,False,False
region_wide_visual,2,1,connector,44,8,0.9713028615720848,0.15167095576186135,0.8972878411341318,0.9713028615720848,0.15167095443418754,0.8972878411341318,0.0,-1.3276738042300451e-09,0.0,0.6164813659621238,-2.1536316870794383e-09,0,0,0.0,0.0,0.0,0.0,0.005536873840445269,0.0,False,False
region_permissive,2,1,metal_plate,97,8,0.953513620163107,0.792529668287076,0.8924334064931151,0.953513563110433,0.7925296077129469,0.8924334064931151,-5.705267402955627e-08,-6.057412915705385e-08,0.0,0.3048596400144594,-1.9869514099728264e-07,42,0,0.00013807069219440353,0.0,0.0,1.0,0.11801428045444982,0.0,False,False
region_balanced,2,1,metal_plate,97,8,0.953513620163107,0.792529668287076,0.8924334064931151,0.9535136203188468,0.7925296164344179,0.8924334064931151,1.5573975442606525e-10,-5.18526581672063e-08,0.0,0.3048596400144594,-1.700869887688214e-07,0,0,0.0,0.0,0.0,0.0,0.11801428045444982,0.0,False,False
region_strict,2,1,metal_plate,97,8,0.953513620163107,0.792529668287076,0.8924334064931151,0.9535136203188468,0.7925296164344179,0.8924334064931151,1.5573975442606525e-10,-5.18526581672063e-08,0.0,0.3048596400144594,-1.700869887688214e-07,0,0,0.0,0.0,0.0,0.0,0.11801428045444982,0.0,False,False
region_wide_visual,2,1,metal_plate,97,8,0.953513620163107,0.792529668287076,0.8924334064931151,0.9535136203188468,0.7925296164344179,0.8924334064931151,1.5573975442606525e-10,-5.18526581672063e-08,0.0,0.3048596400144594,-1.700869887688214e-07,0,0,0.0,0.0,0.0,0.0,0.11801428045444982,0.0,False,False
region_permissive,2,1,tubes,101,8,0.9697896846621709,0.5584449724818465,0.8618506375484636,0.9697896840464681,0.5584448394195669,0.8618506375484636,-6.157027110376134e-10,-1.3306227963916228e-07,0.0,0.5627624981748539,-2.364448236524442e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_balanced,2,1,tubes,101,8,0.9697896846621709,0.5584449724818465,0.8618506375484636,0.9697896840464681,0.5584448394195669,0.8618506375484636,-6.157027110376134e-10,-1.3306227963916228e-07,0.0,0.5627624981748539,-2.364448236524442e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_strict,2,1,tubes,101,8,0.9697896846621709,0.5584449724818465,0.8618506375484636,0.9697896840464681,0.5584448394195669,0.8618506375484636,-6.157027110376134e-10,-1.3306227963916228e-07,0.0,0.5627624981748539,-2.364448236524442e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_wide_visual,2,1,tubes,101,8,0.9697896846621709,0.5584449724818465,0.8618506375484636,0.9697896840464681,0.5584448394195669,0.8618506375484636,-6.157027110376134e-10,-1.3306227963916228e-07,0.0,0.5627624981748539,-2.364448236524442e-07,0,0,0.0,0.0,0.0,0.0,0.00816137098403718,0.0,False,False
region_permissive,2,2,bracket_black,79,8,0.9261537637284678,0.03252195378666519,0.7932567245664559,0.9261499780635145,0.03252193146182574,0.7932567245664559,-3.785664953293022e-06,-2.2324839449305856e-08,0.0,0.3399968504778025,-6.56619007438817e-08,104,0,0.00041978816843192974,0.0,0.0,1.0,0.0009606690777576853,0.0,False,False
