step,loss,seg,ap,cp,gate
275,1.363227,1.350206,0.035297,0.004177,0.005126
276,1.165869,1.154504,0.027724,0.003512,0.005118
277,1.205525,1.193109,0.032419,0.004179,0.005096
278,1.240441,1.226544,0.040711,0.003354,0.005084
279,1.317668,1.300950,0.052787,0.005513,0.005058
280,1.173428,1.157944,0.047122,0.005013,0.005056
281,1.375998,1.361451,0.043629,0.003981,0.005025
282,1.228383,1.209642,0.064597,0.004060,0.005010
283,1.250045,1.239931,0.020583,0.005048,0.004988
284,1.207866,1.196094,0.029542,0.004460,0.004972
285,1.185503,1.166250,0.068589,0.002916,0.004952
286,1.289074,1.275590,0.037276,0.005465,0.004936
287,1.349742,1.334542,0.046711,0.004689,0.004919
288,1.305620,1.293620,0.031622,0.003863,0.004902
289,1.233726,1.222554,0.027665,0.003764,0.004886
290,1.214382,1.203948,0.024561,0.003260,0.004870
291,1.209991,1.190215,0.070463,0.004142,0.004855
292,1.133043,1.120063,0.036453,0.004256,0.004838
293,1.185163,1.174869,0.024168,0.003193,0.004822
294,1.357824,1.340999,0.057063,0.003029,0.004806
295,1.172499,1.157906,0.045223,0.003783,0.004792
296,1.261222,1.247396,0.039236,0.006016,0.004776
297,1.204955,1.194635,0.024628,0.003170,0.004761
298,1.224470,1.211416,0.037435,0.004099,0.004746
299,1.204190,1.189797,0.044807,0.003500,0.004731
300,1.319944,1.307297,0.033706,0.005948,0.004716
301,1.287625,1.276440,0.028032,0.004384,0.004702
302,1.234874,1.220825,0.043036,0.003772,0.004687
303,1.319951,1.306611,0.039963,0.003377,0.004672
304,1.197147,1.186564,0.024901,0.004699,0.004663
305,1.346599,1.334251,0.034196,0.004253,0.004659
306,1.331783,1.318351,0.038106,0.005745,0.004662
307,1.140353,1.128588,0.030651,0.005007,0.004633
308,1.237237,1.227159,0.022814,0.004522,0.004611
309,1.289586,1.276837,0.036592,0.004168,0.004597
310,1.092649,1.082303,0.025783,0.003039,0.004582
311,1.169318,1.155168,0.043967,0.003915,0.004573
312,1.234552,1.222720,0.031866,0.004339,0.004590
313,1.366669,1.349271,0.059006,0.005063,0.004584
314,1.179141,1.164798,0.044758,0.004315,0.004528
315,1.374377,1.356514,0.061925,0.004785,0.004521
316,1.273006,1.252332,0.074431,0.006432,0.004501
317,1.297903,1.287157,0.026240,0.004954,0.004507
318,1.092351,1.081286,0.027248,0.005246,0.004565
319,1.233813,1.222258,0.031979,0.003297,0.004500
320,1.187947,1.177827,0.024217,0.004020,0.004472
321,1.177296,1.165339,0.034405,0.003223,0.004431
322,1.261312,1.249384,0.032384,0.005153,0.004420
323,1.230583,1.221640,0.018795,0.003873,0.004409
324,1.233133,1.218374,0.047453,0.004391,0.004390
325,1.362338,1.345080,0.059289,0.005150,0.004370
326,1.157628,1.145866,0.033245,0.003784,0.004356
327,1.261070,1.250362,0.026072,0.005749,0.004343
328,1.381813,1.367936,0.044807,0.002922,0.004331
329,1.206342,1.197086,0.021035,0.003642,0.004320
330,1.113971,1.103046,0.029186,0.003891,0.004310
331,1.267456,1.257547,0.023847,0.004225,0.004295
332,1.330830,1.320572,0.024505,0.005380,0.004281
333,1.291802,1.282562,0.020216,0.004650,0.004267
334,1.298051,1.285995,0.034973,0.004025,0.004256
335,1.244525,1.228149,0.055805,0.004849,0.004245
336,1.246682,1.234007,0.038146,0.004065,0.004233
337,1.237001,1.227867,0.018515,0.006048,0.004222
338,1.250167,1.236584,0.043078,0.003793,0.004209
339,1.354554,1.343283,0.030014,0.005350,0.004198
340,1.348715,1.336739,0.034179,0.004771,0.004186
341,1.138126,1.117830,0.076732,0.003869,0.004176
342,1.347650,1.331691,0.054127,0.004833,0.004167
343,1.196502,1.184194,0.037109,0.003668,0.004153
344,1.284420,1.267604,0.060103,0.003265,0.004143
345,1.262509,1.251619,0.029020,0.004791,0.004128
346,1.260943,1.247811,0.041079,0.003986,0.004119
347,1.195079,1.178264,0.060139,0.003401,0.004107
348,1.426276,1.417860,0.016636,0.004936,0.004102
349,1.247091,1.235894,0.031210,0.004243,0.004106
350,1.367489,1.351924,0.053232,0.004118,0.004095
351,1.346110,1.332022,0.043329,0.006710,0.004080
352,1.196584,1.179041,0.062962,0.004487,0.004053
353,1.251317,1.237969,0.041037,0.005472,0.004046
354,1.316386,1.299514,0.060377,0.003853,0.004027
355,1.185276,1.174214,0.031269,0.003967,0.004015
356,1.212388,1.200096,0.037568,0.003874,0.004004
357,1.248191,1.237210,0.030459,0.004503,0.003989
358,1.322873,1.303531,0.072593,0.004236,0.003976
359,1.259350,1.249090,0.028134,0.003337,0.003966
360,1.270193,1.264801,0.003030,0.004103,0.003966
