method,shot,category,seed_count,image_auroc_mean,image_auroc_std,image_ap_mean,image_ap_std,image_f1_max_mean,image_f1_max_std,pixel_auroc_mean,pixel_auroc_std,pixel_ap_mean,pixel_ap_std,aupro_mean,aupro_std
PatchCore,4,macaroni1,3,0.6283666667,0.0357291664,0.6067827343,0.0317452309,0.6857941281,0.0110330328,0.8652456360,0.0259044642,0.0180359428,0.0192041654,0.5670448339,0.0486892782
PatchCore,4,macaroni2,3,0.6007666667,0.0295393523,0.5837019648,0.0453568495,0.6766999007,0.0071901895,0.7973854377,0.0186620165,0.0021637421,0.0005936584,0.4358409026,0.0391369356
PatchCore,4,pcb1,3,0.7694833333,0.0211214543,0.7270434968,0.0580193593,0.8089626240,0.0511942241,0.9535437601,0.0137942422,0.3667143222,0.3528765620,0.6336078523,0.1088745786
PatchCore,4,pcb2,3,0.7582000000,0.0227052857,0.7730582501,0.0122913212,0.7355668777,0.0280889134,0.9316987754,0.0013862985,0.0656273117,0.0026262299,0.6390708047,0.0038384138
PatchCore,4,pcb3,3,0.7748184818,0.0247469961,0.7821664459,0.0143814633,0.7493072079,0.0402261994,0.9376091421,0.0070420703,0.2980841865,0.0137066879,0.5696817359,0.0375480583
PatchCore,4,pcb4,3,0.9399339934,0.0224938496,0.9392357343,0.0206473707,0.8805972155,0.0283202681,0.9155279652,0.0124561059,0.2572244869,0.0096712649,0.5938522928,0.0475370569
PatchCore,4,pipe_fryum,3,0.8928000000,0.0107554637,0.9482474626,0.0062774802,0.8827956422,0.0109104632,0.9911651063,0.0004297882,0.7129129233,0.0114831450,0.8058366628,0.0267029803
PromptAD,1,candle,3,0.8134500000,0.0862099617,0.8158546438,0.1082082085,0.7769974300,0.0565139498,0.9454757757,0.0097356024,0.1655289034,0.0258011230,0.8892510554,0.0279403577
PromptAD,1,capsules,3,0.7838333333,0.0480278420,0.8660369348,0.0452596147,0.8025844007,0.0198290753,0.9482607502,0.0065846777,0.2400526473,0.0248224494,0.5543816105,0.0351338699
PromptAD,1,cashew,3,0.9270000000,0.0274792649,0.9635596702,0.0132265224,0.9072021360,0.0170372781,0.9915508573,0.0007552526,0.6414740414,0.0134869437,0.9126111743,0.0058339333
PromptAD,1,chewinggum,3,0.9215000000,0.0203737576,0.9639530149,0.0088585702,0.8913924653,0.0203440875,0.9926293011,0.0007655899,0.6630210773,0.0477031496,0.8792193815,0.0090192755
PromptAD,1,fryum,3,0.8795666667,0.0071793686,0.9391135400,0.0072251351,0.8738192715,0.0100926500,0.9533541558,0.0069234802,0.3383421020,0.0286459425,0.8016429638,0.0192344881
PromptAD,1,macaroni1,3,0.8341000000,0.0138835334,0.8382021723,0.0147035305,0.7666819076,0.0086638593,0.9752645877,0.0069574771,0.0683316377,0.0153808524,0.8804837652,0.0090220415
PromptAD,1,macaroni2,3,0.6093166667,0.0873914517,0.6091971983,0.0840687862,0.6900011669,0.0160451582,0.9521832733,0.0051382706,0.0188386024,0.0130439537,0.8208048342,0.0090900457
PromptAD,1,pcb1,3,0.8805666667,0.0080275048,0.8696465209,0.0111328361,0.8453612741,0.0040641135,0.9627046693,0.0051954244,0.3587546302,0.0443187452,0.8645300477,0.0126288633
PromptAD,1,pcb2,3,0.7173833333,0.0453635408,0.7177233971,0.0506790755,0.7103547959,0.0204911084,0.9388352201,0.0056206092,0.0711247940,0.0129016044,0.7231217034,0.0135475882
PromptAD,1,pcb3,3,0.7252310231,0.0228977031,0.7391288342,0.0252780341,0.7006897952,0.0127909778,0.9487416845,0.0064461933,0.1405326541,0.0284796360,0.7771481316,0.0399107247
PromptAD,1,pcb4,3,0.8562376238,0.0550789908,0.8520624400,0.0643972390,0.7907845589,0.0344493612,0.9329511030,0.0093036225,0.1041057993,0.0103369087,0.7266465508,0.0425572258
PromptAD,1,pipe_fryum,3,0.7629333333,0.1847741685,0.8647537526,0.1226773452,0.8441597138,0.0401653983,0.9892895866,0.0030652268,0.5676265283,0.0778542162,0.9386326268,0.0057237900
PromptAD,2,candle,3,0.8493166667,0.0736292458,0.8599447828,0.0914145410,0.8025513221,0.0756824630,0.9509143726,0.0105684306,0.1682928877,0.0147091516,0.9010281098,0.0183462136
PromptAD,2,capsules,3,0.7967777778,0.0222726684,0.8798843256,0.0171113382,0.8093790308,0.0113299804,0.9582369940,0.0036093047,0.2783988160,0.0213195908,0.5892587532,0.0392217835
PromptAD,2,cashew,3,0.9366666667,0.0305810944,0.9686319255,0.0151186482,0.9192580145,0.0300077771,0.9921394060,0.0004286491,0.6616251506,0.0533001672,0.9168193840,0.0092015160
PromptAD,2,chewinggum,3,0.9266000000,0.0142263839,0.9661604907,0.0071968395,0.8986269302,0.0093846951,0.9926471628,0.0010403284,0.6499155573,0.0530965886,0.8831572546,0.0076936750
PromptAD,2,fryum,3,0.8909333333,0.0343074822,0.9451777010,0.0193309987,0.8842754605,0.0313565166,0.9568616950,0.0033240554,0.3406031001,0.0194043257,0.8154079657,0.0122334376
PromptAD,2,macaroni1,3,0.8322333333,0.0122069994,0.8344585674,0.0133958754,0.7663343736,0.0117040805,0.9770096693,0.0039387984,0.0763068612,0.0046747145,0.8958986280,0.0010845598
PromptAD,2,macaroni2,3,0.6150500000,0.0914392831,0.6100164239,0.1078252375,0.6853932145,0.0110902603,0.9640606201,0.0040066345,0.0352424894,0.0052490137,0.8259434395,0.0126448739
PromptAD,2,pcb1,3,0.8801833333,0.0141426954,0.8658830982,0.0189611044,0.8503711494,0.0007115747,0.9670810927,0.0063059826,0.3302996262,0.0758841007,0.8791228734,0.0067967358
PromptAD,2,pcb2,3,0.6837333333,0.0350101533,0.6937717098,0.0391743928,0.6933662953,0.0113625779,0.9455046688,0.0024928759,0.0754868260,0.0105315240,0.7470038383,0.0092695187
PromptAD,2,pcb3,3,0.7303465347,0.0184081215,0.7465695215,0.0168467569,0.7030364908,0.0154038396,0.9565485309,0.0048942442,0.1828539525,0.0270430683,0.7837257132,0.0430427083
PromptAD,2,pcb4,3,0.8951485149,0.0505569171,0.8917329568,0.0565630580,0.8280043509,0.0441163652,0.9491940084,0.0050519416,0.1376522864,0.0110063497,0.7440948486,0.0232283236
PromptAD,2,pipe_fryum,3,0.7764666667,0.1287937240,0.8622874223,0.0828474045,0.8529727009,0.0403995249,0.9894595752,0.0007694507,0.6223646397,0.0987229406,0.9323764915,0.0123198593
PromptAD,4,candle,3,0.8207833333,0.0355137415,0.8354681239,0.0310781579,0.7747435897,0.0260313244,0.9540900073,0.0046259154,0.1684542998,0.0092836002,0.9051070186,0.0138188681
PromptAD,4,capsules,3,0.7887222222,0.0342767873,0.8665515286,0.0288515234,0.8004894198,0.0150480932,0.9610418532,0.0043066910,0.3334565698,0.0325586445,0.5979698568,0.0204408161
PromptAD,4,cashew,3,0.9322000000,0.0246846106,0.9677414752,0.0116127750,0.9042017380,0.0230351085,0.9923613674,0.0008393000,0.7124295005,0.0867471785,0.9191274611,0.0090874541
